Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S85334994,Red-bellied Woodpecker,Melanerpes carolinus,11199,1,US-MA,Essex,L6528498,Cape Ann,42.6588561,-70.6397724,1982-01-02,09:00 AM,eBird - Traveling Count,360,1,32.186,,31,,,"BBC Trip, Leader: RICHARD HALE. Fewer numbers of land and sea birds. Sharp fierce wind. Drakes were in good light and beauties at Bass Rocks and Niles Pond",
S85334994,Red-necked Grebe,Podiceps grisegena,6869,11,US-MA,Essex,L6528498,Cape Ann,42.6588561,-70.6397724,1982-01-02,09:00 AM,eBird - Traveling Count,360,1,32.186,,31,,,"BBC Trip, Leader: RICHARD HALE. Fewer numbers of land and sea birds. Sharp fierce wind. Drakes were in good light and beauties at Bass Rocks and Niles Pond",
S85671586,Northern Hawk Owl,Surnia ulula,8999,1,US-ME,York,L14480171,"Lebanon, ME",43.409783,-70.9200008,1982-02-20,09:00 AM,eBird - Traveling Count,120,0,1.609,,1,,,"BBC Trip, Leader: Bill Drummond. Part of Newburyport trip.",
S85671585,Greater White-fronted Goose,Anser albifrons,287,5,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1982-02-28,08:00 AM,eBird - Traveling Count,360,1,24.14,,1,,,"BBC Trip, Leader: ERIK NIELSON",
S98213865,Western Grebe,Aechmophorus occidentalis,6888,1,US-MA,Plymouth,L111994,Plymouth,41.94623,-70.80794,1982-04-03,09:00 AM,eBird - Traveling Count,360,1,64.372,,1,,,"BBC Trip, Leader: WARREN HARRINGTON. Marshfield, Scituate and vicinity",
S98213860,Tree Swallow,Tachycineta bicolor,24064,10,US-MA,Plymouth,L111994,Plymouth,41.94623,-70.80794,1982-04-11,09:00 AM,eBird - Traveling Count,360,1,24.14,,11,,,"BBC Trip, Leader: DOROTHY DAVIS. Middleboro, Lakeville, Bridgewater, Halifax",
S100341930,Brant,Branta bernicla,314,60,US-MA,Essex,L111987,Essex,42.65736,-70.92672,1982-05-01,07:00 AM,eBird - Traveling Count,360,1,48.279,,11,,,"BBC Trip, Leader: PETER ALDEN. CROOKED POND TO PLUM ISLAND",
S100341923,Black Rail,Laterallus jamaicensis,5651,X,US-MD,,L108948,Maryland,38.84775,-76.73507,1982-05-08,07:00 AM,eBird - Traveling Count,840,1,80.465,,15,,,"BBC Trip, Leader: GAIL AND CHARLES VAUGHN. Trip to coincide with Maryland Ornithological Society convention in Salisbury region.",
S100341923,Gull-billed Tern,Gelochelidon nilotica,6710,2,US-MD,,L108948,Maryland,38.84775,-76.73507,1982-05-08,07:00 AM,eBird - Traveling Count,840,1,80.465,,15,,,"BBC Trip, Leader: GAIL AND CHARLES VAUGHN. Trip to coincide with Maryland Ornithological Society convention in Salisbury region.",
S100341945,Northern Parula x Yellow-throated Warbler (hybrid),Setophaga americana x dominica,34176,1,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1982-05-08,06:00 AM,eBird - Traveling Count,345,1,3.219,,55,,,"BBC Trip, Leader: OLIVER KOMAR. About 130 birders in Mt Auburn today. At one time 80 were watching the Sutton's Warbler between the entrance and wet Dell - identified by Bill and Barbara Drummond",
S100341932,Black-and-white Warbler,Mniotilta varia,33962,4,US-MA,Essex,L207365,Eastern Point--General Area,42.5847513,-70.6572351,1982-05-09,07:00 AM,eBird - Traveling Count,180,1,3.219,,6,,,"BBC Trip, Leader: JOHN NOVE. 7 Cape May Warblers the most I have ever seen at once in the spring",
S100341993,Broad-winged Hawk,Buteo platypterus,8479,1,US-MA,Essex,L229844,Breakheart Reservation,42.4833937,-71.0280371,1982-05-09,06:00 AM,eBird - Traveling Count,180,1,3.219,,1,,,"BBC Trip, Leader: CRAIG JACKSON. Came across a nasty 2 and a half foot water snake that struck at me every time I tried to pass it!",
S100361297,Mallard,Anas platyrhynchos,545,1,US-MA,Norfolk,L11761893,Millis & vicinity,42.1676864,-71.3567628,1982-06-26,07:00 AM,eBird - Traveling Count,180,1,16.093,,11,,,"BBC Trip, Leader: BRIAN CASSIE. Millis, Medfield, Dover",
S100365926,Royal Tern,Thalasseus maximus,6789,1,US-MA,Essex,L830335,Plum Island (please use more refined location),42.7987508,-70.8114526,1982-07-19,05:30 PM,eBird - Traveling Count,240,1,9.656,,1,,,"BBC Trip, Leader: CHRIS CORLEY. The greenheads were extremely thick!",
S100453268,Olive-sided Flycatcher,Contopus cooperi,16890,1,US-MA,Essex,L594125,Marblehead Neck Wildlife Sanctuary (Mass Audubon),42.4930171,-70.8401871,1982-09-11,08:00 AM,eBird - Traveling Count,180,1,3.219,,1,,,"BBC Trip, Leader: WILLIAM FOLEY",
S100453097,Red-eyed Vireo,Vireo olivaceus,19267,1,US-MA,Hampden,L923899,Mount Tom State Reservation (Hampden Co.),42.2613033,-72.6391983,1982-09-19,08:00 AM,eBird - Traveling Count,180,1,16.093,,8,,,"BBC Trip, Leader:HERMAN D'ENTREMONT",
S100453356,Lark Sparrow,Chondestes grammacus,33029,1,US-MA,Nantucket,L2074827,Nantucket,41.2664529,-70.0474548,1982-10-01,09:00 AM,eBird - Traveling Count,480,1,48.279,,1,,,"BBC Trip, Leader: DOROTHY DAVIS",
S70846596,Egyptian Goose,Alopochen aegyptiaca,417,3,US-MA,Hampshire,L743036,Quabbin Reservoir (Hampshire Co.) (please use more refined location),42.3047374,-72.3236847,1983-01-09,09:00 AM,eBird - Traveling Count,360,1,48.279,,22,,Gate 52 - exotic?,"BBC Trip, Leader: S Carroll & M Lynch. South Quabbin and Gate 35",
S79820806,nighthawk sp.,Chordeiles sp.,3506,1,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1983-05-04,06:00 AM,eBird - Traveling Count,120,1,3.219,,1,," large, descriptions suggest Chuck-will's widow. Size of a Merlin.","BBC Trip, Leader: Robert Stymeist. Large caprimulgiforme, all descriptions suggest strongly of a Chuck-will's widow, size of a Merlin.",
S79819567,Prothonotary Warbler,Protonotaria citrea,33963,1,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1983-05-08,06:30 AM,eBird - Traveling Count,180,1,3.219,,1,," Spectacle Pond, seen by leader after trip","BBC Trip, Leader: Chris Floyd",
S79820820,Eastern Whip-poor-will,Antrostomus vociferus,3614,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1983-05-15,08:30 AM,eBird - Traveling Count,480,1,32.186,,10,, called at Hellcat,"BBC Trip, Leader: David & Dennis Oliver, on & off rain, drizzle all day",
S79820832,Cerulean Warbler,Setophaga cerulea,34061,2,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1983-05-21,08:00 AM,eBird - Traveling Count,480,1,32.186,,2,,,"BBC Trip, Leader: Herman Weissberg & Bill Drummond",
S79820835,Philadelphia Vireo,Vireo philadelphicus,19244,3,US-MA,Bristol,L4665472,Westport general area,41.5892562,-71.082058,1983-05-22,09:00 AM,eBird - Traveling Count,480,1,32.186,,1,,,"BBC Trip, Leader: Dorothy Davis",
S79820836,White-throated Sparrow,Zonotrichia albicollis,33201,1,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1983-05-24,06:00 AM,eBird - Traveling Count,120,1,3.219,,4,,,"BBC Trip, Leader: Fred Bouchard, James Barton, Drearly cold, drizzly, wind 10 mph",
S79820838,Blackpoll Warbler,Setophaga striata,34138,17,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1983-05-25,06:00 AM,eBird - Traveling Count,120,1,3.219,,1,,,"BBC Trip, Leader: Janet Heywood overcast 55F humid. Members also reported Summer Tanager",
S76745626,American Black Duck,Anas rubripes,571,50,US-MA,Essex,L830335,Plum Island (please use more refined location),42.7987508,-70.8114526,1983-06-13,08:00 AM,eBird - Traveling Count,240,1,9.656,,1,,,"BBC Trip, Leader:",
S76745633,Greater Yellowlegs,Tringa melanoleuca,6154,4,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1983-06-27,05:30 PM,eBird - Traveling Count,180,1,16.093,,20,,,"BBC Trip, Leaders: David & Dennis Oliver",
S77931351,Downy/Hairy Woodpecker,Dryobates pubescens/Leuconotopicus villosus,11450,1,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1983-10-15,09:00 AM,eBird - Traveling Count,420,1,9.656,,1,,,"BBC Trip, Leader: Doug Resnick, Strong NW winds, Perfectly Clear. Plum Island, Newburyport Harbor, Artichoke Res, Cherry Hill Reservoir",
S98495972,Veery,Catharus fuscescens,28313,4,US-MA,Essex,L10491583,Newburyport & vicinity,42.8113735,-70.8755356,1984-05-19,08:00 AM,eBird - Traveling Count,480,1,32.186,,34,,,"BBC trip, leader: Bill Drummond. Newburyport, West Newbury, Rowley. The day was beautiful. 124 species. Highlights - Summer Tanager at Oak Hill Cemetery, Least Bitterns at Hellcat, Golden-winged Warbler on Pikes Bridge Road singing Blue-winged song",
S98495978,Wilson's Warbler,Cardellina pusilla,34346,2,US-MA,Plymouth,L111994,Plymouth,41.94623,-70.80794,1984-05-20,07:00 AM,eBird - Traveling Count,300,1,32.186,,1,,,"BBC trip, leader: Robert Timberlake. Marshfield to Duxbury Beach",
S98495987,Ring-necked Pheasant,Phasianus colchicus,1477,1,US-MA,Middlesex,L207391,Mount Auburn Cemetery,42.371,-71.146,1984-05-27,06:30 AM,eBird - Traveling Count,240,1,3.219,,1,,,"BBC trip, leader: Alan Bennett",
